deseo 15 subredes
bits prestados 4
tengo que dividir en 16.0 redes
mask: .240 - CIDR: /28
host per net:16 (utilizables: 14
subred 1: 192.168.1.0 		192.168.1.1 - 192.168.1.14	192.168.1.15
subred 2: 192.168.1.16 		192.168.1.17 - 192.168.1.30	192.168.1.31
subred 3: 192.168.1.32 		192.168.1.33 - 192.168.1.46	192.168.1.47
subred 4: 192.168.1.48 		192.168.1.49 - 192.168.1.62	192.168.1.63
subred 5: 192.168.1.64 		192.168.1.65 - 192.168.1.78	192.168.1.79
subred 6: 192.168.1.80 		192.168.1.81 - 192.168.1.94	192.168.1.95
subred 7: 192.168.1.96 		192.168.1.97 - 192.168.1.110	192.168.1.111
subred 8: 192.168.1.112 		192.168.1.113 - 192.168.1.126	192.168.1.127
subred 9: 192.168.1.128 		192.168.1.129 - 192.168.1.142	192.168.1.143
subred 10: 192.168.1.144 		192.168.1.145 - 192.168.1.158	192.168.1.159
subred 11: 192.168.1.160 		192.168.1.161 - 192.168.1.174	192.168.1.175
subred 12: 192.168.1.176 		192.168.1.177 - 192.168.1.190	192.168.1.191
subred 13: 192.168.1.192 		192.168.1.193 - 192.168.1.206	192.168.1.207
subred 14: 192.168.1.208 		192.168.1.209 - 192.168.1.222	192.168.1.223
subred 15: 192.168.1.224 		192.168.1.225 - 192.168.1.238	192.168.1.239
subred 16: 192.168.1.240 		192.168.1.241 - 192.168.1.254	192.168.1.255
